_id,KODEA/CODIGO,UDALERRIA/MUNICIPIO,EKITALDIA /EJERCICIO,HILABETE/MES,DATUAK ERAUZI EGUNA/FECHA EXTRACCION,ARLO FUNTZIONALA/AREA FUNCIONAL,AZALERA (KM2)/EXTENSION (KM2),BIZTANLE ERROLDA/HABITANTES CENSO,JARD EKON  LURZORUA HL GUZTIRA (M2)/SUELO AE  TOTAL SUB(M2),JARD EKON  LURZORUA HL HUTSIK (M2)/SUELO AE  VACANTE SUB(M2),JARD EKON  LURZORUA  LU GUZTIRA (M2)/SUELO AE  TOTAL SUZ(M2),JARD EKON  LURZORUA LU HUTSIK (M2)/SUELO AE  VACANTE SUZ(M2),BIZIT LORZORUA HL GUZTIRA (M2)/SUELO RES  TOTAL SUB(M2),BIZIT LORZORUA HL HUTSIK (M2)/SUELO RES  VACANTE SUB(M2),BIZIT LORZORUA  LU GUZTIRA (M2)/SUELO RES  TOTAL SUZ(M2),BIZIT LORZORUA  LU HUTSIK (M2)/SUELO RES  VACANTE SUZ(M2),HL ETXE  LIBREA GUZTIRA/TOTAL VIV  SUB  LIBRE,HL ETXE  BOE GUZTIRA/TOTAL VIV  SUB  VPO,HL ETXE B BABES BATZ GUZTIRA/TOTAL VIV  SUB  OTRAS PROTEC,BURUTZEKO ETXE  HL/VIVIENDAS POR EJECUTAR SUB,LU ETXE LIBREA GUZTIRA/TOTAL VIV  SUZ  LIBRE,LU ETXE BOE GUZTIRA/TOTAL VIV  SUZ  VPO,LU ETXE  B BABES BATZ GUZTIRA/TOTAL VIV  SUZ  OTRAS PROTEC,BURUTZEKO ETXE LU/VIVIENDAS POR EJECUTAR SUZ,NG ETXE  GUZTIAK/TOTAL VIVIENDAS NR,BURUTZEKO ETXE  LN/VIVIENDAS POR EJECUTAR NR
879,=095,ZALDIBAR,2021,6,2021-07-20 08:00:01,Durango,11,3041,"145950,03","5559232,75",0,0,"196849,99999999997","41818,309999999998",0,0,106,104,101,216,0,0,0,0,9,0
880,=096,ZALLA,2021,6,2021-07-20 08:00:01,Balmaseda-Zalla,31,8379,"194124,89000000001","16786,669999999998","187247,70999999999","179442,89999999999","540620,05000000005","38342,059999999998","218805,14999999999","139010,31",564,116,0,163,232,214,0,245,183,21
881,=097,ZARATAMO,2021,6,2021-07-20 08:00:01,Bilbao Metropolitano,10,1662,"274190,70000000001","66946,210000000006",14949,14949,"185893,86000000002","29215,5","68909,399999999994","67581,889999999999",77,0,21,95,77,25,68,167,21,0
882,=901,DERIO,2021,6,2021-07-20 08:00:01,Bilbao Metropolitano,10,5934,"901148,56000000006","4109,4899999999998","349474,67999999999","234223,84","310421,28999999998",0,"1903992,95","1698950,8200000001",273,264,0,0,1156,545,503,1507,0,0
763,=091,ATXONDO,2021,3,2021-04-20 08:00:01,Durango,23,1421,"217474,67999999999",47774,66706,"66004,75","119369,01000000001","39272,559999999998",0,0,203,0,0,126,0,0,0,0,89,15
883,=902,ERANDIO,2021,6,2021-07-20 08:00:01,Bilbao Metropolitano,19,24175,"1090722,6300000001","237883,07000000001","865596,56000000006","638323,29000000004","685727,23999999999","182967,92999999999","319710,92999999999","138098,70000000001",1953,298,410,1075,494,908,0,628,184,66
884,=903,LOIU,2021,6,2021-07-20 08:00:01,Bilbao Metropolitano,15,2424,383231,61403,361513,361513,"201199,30000000002",9371,"339183,20000000001","289543,60999999999",77,0,0,77,762,404,0,962,0,0
885,=904,SONDIKA,2021,6,2021-07-20 08:00:01,Bilbao Metropolitano,7,4494,"451541,41999999998",44868,131700,131700,"308404,40000000002","32866,169999999998","195649,79000000001","23772,279999999999",345,0,0,219,373,101,0,51,110,16
886,=905,ZAMUDIO,2021,6,2021-07-20 08:00:01,Bilbao Metropolitano,18,3214,"2185797,23","173908,28","815266,27000000002","684635,09999999998","185034,56","18166,939999999999","70159,729999999996","66618,009999999995",229,0,0,154,208,41,167,395,0,0
887,=906,FORUA,2021,6,2021-07-20 08:00:01,Gernika-Markina,8,972,"17965,959999999999",0,0,0,"121043,06999999999","6007,5",0,0,91,8,0,5,0,0,0,0,71,7
889,=908,MURUETA,2021,6,2021-07-20 08:00:01,Gernika-Markina,5,287,"42966,110000000001",0,0,0,"129192,37000000001","9920,3999999999996","32150,220000000001","32150,220000000001",10,26,4,10,10,90,0,100,0,0
890,=909,NABARNIZ,2021,6,2021-07-20 08:00:01,Gernika-Markina,12,229,"4514,8199999999997",0,0,0,"43465,940000000002",17416,0,0,32,0,0,15,0,0,0,0,105,28
891,=910,IURRETA,2021,6,2021-07-20 08:00:01,Durango,19,3829,"532145,82999999996","88494,669999999998","342242,17999999999","52749,199999999997","103514,54000000001","13235,48","125674,69","123757,37",367,0,0,164,282,61,98,439,54,12
892,=911,AJANGIZ,2021,6,2021-07-20 08:00:01,Gernika-Markina,7,450,"86932,690000000002",5274,0,0,"33133,18",9306,0,0,22,0,10,32,0,0,0,0,43,8
893,=912,ALONSOTEGI,2021,6,2021-07-20 08:00:01,Bilbao Metropolitano,20,2861,"182392,39000000001",60730,35570,35570,"225013,48000000001","59647,290000000001",35806,0,531,62,0,285,81,0,0,0,52,18
1032,=024,ZEANURI,2021,12,2022-01-30 08:00:01,Igorre,67,1316,"23262,450000000001",19231,0,0,"145805,23000000001","41236,519999999997","14649,549999999999","11719,639999999999",116,0,32,74,25,0,0,20,350,137
1009,=001,ABADIÃO,2021,12,2022-01-30 08:00:01,Durango,36,7386,"587951,08999999997","34967,519999999997","740467,81000000006","374607,52000000002","275118,55000000005","4249,6400000000003",249196,"34728,639999999999",395,23,20,27,650,307,0,168,39,16
784,=915,ZIORTZA-BOLIBAR,2021,3,2021-04-20 08:00:01,Gernika-Markina,19,447,"11875,23",0,0,0,"39046,739999999998","9432,5",32981,32981,33,0,0,33,52,0,0,52,69,26
1000,=907,KORTEZUBI,2021,9,2021-10-20 08:00:01,Gernika-Markina,12,424,0,0,0,0,"27946,939999999999","3460,25",0,0,39,0,0,6,0,0,0,0,77,20
897,=001,ABADIÃO,2021,9,2021-10-20 08:00:01,Durango,36,7386,"587951,08999999997","34967,519999999997","740467,81000000006","374607,52000000002","275118,55000000005","4249,6400000000003",249196,"34728,639999999999",395,23,20,27,650,307,0,168,39,16
898,=002,ABANTO Y CIERVANA-ABANTO ZIERBENA,2021,9,2021-10-20 08:00:01,Bilbao Metropolitano,16,9772,"579274,17000000004","118040,97",1106586,"875987,04000000004","900906,81000000006","239069,89999999999","297048,78999999998","297048,78999999998",632,160,120,763,411,812,244,1467,67,0
902,=006,ARANTZAZU,2021,9,2021-10-20 08:00:01,Igorre,4,359,"3769,9200000000001",0,"269196,5","86851,080000000002","88869,110000000001","18369,98",0,0,45,0,25,16,0,0,0,0,55,15
903,=007,MUNITIBAR-ARBATZEGI GERRIKAITZ,2021,9,2021-10-20 08:00:01,Gernika-Markina,24,438,0,0,0,0,"62822,120000000003",1528,26925,26925,62,20,0,6,29,0,0,29,57,27
904,=008,ARTZENTALES,2021,9,2021-10-20 08:00:01,Balmaseda-Zalla,37,753,0,0,0,0,"116116,64999999999","18452,130000000001","30077,220000000001","30077,220000000001",37,0,0,37,65,0,0,65,74,18
