KODEA/CODIGO;UDALERRIA/MUNICIPIO;EKITALDIA /EJERCICIO;HILABETE/MES;DATUAK ERAUZI EGUNA/FECHA EXTRACCION;ARLO FUNTZIONALA/AREA FUNCIONAL;AZALERA (KM2)/EXTENSION (KM2);BIZTANLE ERROLDA/HABITANTES CENSO;JARD EKON  LURZORUA HL GUZTIRA (M2)/SUELO AE  TOTAL SUB(M2);JARD EKON  LURZORUA HL HUTSIK (M2)/SUELO AE  VACANTE SUB(M2);JARD EKON  LURZORUA  LU GUZTIRA (M2)/SUELO AE  TOTAL SUZ(M2);JARD EKON  LURZORUA LU HUTSIK (M2)/SUELO AE  VACANTE SUZ(M2);BIZIT LORZORUA HL GUZTIRA (M2)/SUELO RES  TOTAL SUB(M2);BIZIT LORZORUA HL HUTSIK (M2)/SUELO RES  VACANTE SUB(M2);BIZIT LORZORUA  LU GUZTIRA (M2)/SUELO RES  TOTAL SUZ(M2);BIZIT LORZORUA  LU HUTSIK (M2)/SUELO RES  VACANTE SUZ(M2);HL ETXE  LIBREA GUZTIRA/TOTAL VIV  SUB  LIBRE;HL ETXE  BOE GUZTIRA/TOTAL VIV  SUB  VPO;HL ETXE B BABES BATZ GUZTIRA/TOTAL VIV  SUB  OTRAS PROTEC ;BURUTZEKO ETXE  HL/VIVIENDAS POR EJECUTAR SUB;LU ETXE LIBREA GUZTIRA/TOTAL VIV  SUZ  LIBRE;LU ETXE BOE GUZTIRA/TOTAL VIV  SUZ  VPO;LU ETXE  B BABES BATZ GUZTIRA/TOTAL VIV  SUZ  OTRAS PROTEC ;BURUTZEKO ETXE LU/VIVIENDAS POR EJECUTAR SUZ;NG ETXE  GUZTIAK/TOTAL VIVIENDAS NR;BURUTZEKO ETXE  LN/VIVIENDAS POR EJECUTAR NR
"=051";LANESTOSA;2024;4;2024-05-07T17:00:32Z;Balmaseda-Zalla;1;273;0;0;0;0;113898,3;30568;39000;39000;69;0;24;64;0;0;0;20;0;0
"=052";LARRABETZU;2024;4;2024-05-07T17:00:32Z;Bilbao Metropolitano;21;1980;167337,39999999999;5615;0;0;159714,29999999999;17266,349999999999;0;0;166;32;0;184;55;0;0;0;0;0
"=053";LAUKIZ;2024;4;2024-05-07T17:00:32Z;Mungia;8;1154;0;0;0;0;495806,46000000002;24436,130000000001;99813,619999999995;92015,679999999993;104;0;0;37;64;0;0;59;45;10
"=054";LEIOA;2024;4;2024-05-07T17:00:32Z;Bilbao Metropolitano;8;30447;701166,40000000002;31502,709999999999;587974,90000000002;588613,40000000002;1574336,55;148738,60500000001;613831,25;239636,01000000001;2101;749;375;918;1882;1272;0;825;0;0
"=055";LEMOA;2024;4;2024-05-07T17:00:32Z;Igorre;15;3468;440377,41999999998;40888,07;139958,85000000001;139958,85000000001;362021,07000000001;129923,27;112104,72;108262,48;739;0;0;447;414;68;0;462;111;42
"=056";LEMOIZ;2024;4;2024-05-07T17:00:32Z;Bilbao Metropolitano;18;1081;404302,90999999997;0;25216;25216;383806,84999999998;112128,64;157165,28;101766;215;0;54;142;216;0;72;188;0;0
"=057";LEKEITIO;2024;4;2024-05-07T17:00:32Z;Gernika-Markina;1;7408;0;0;6826;6826;484471,69;23568;0;22231,650000000001;0;0;0;104;60;73;73;206;0;0
"=058";MALLABIA;2024;4;2024-05-07T17:00:32Z;Eibar;23;1186;486180,83000000002;86558,199999999997;132030;118908,39999999999;63798,199999999997;6703,6899999999996;7900;7900;48;0;68;84;0;28;0;28;22;0
"=059";MAÑARIA;2024;4;2024-05-07T17:00:32Z;Durango;17;514;11319,92;0;40725,349999999999;40725,349999999999;69043,020000000004;16891;14448,52;14448,52;71;0;0;38;0;0;0;21;51;19
"=060";MARKINA-XEMEIN;2024;4;2024-05-07T17:00:32Z;Gernika-Markina;45;4906;146711,56;22564,740000000002;65304,110000000001;65304,110000000001;229058,53;24396,560000000001;17467,130000000001;17467,130000000001;208;30;32;269;42;101;37;180;7;0
